#{"t_start": 1774802601.644831, "env_id": "SimpleCorridor-v0"}
r,l,t
-3.3,44,0.326981
-4.3,54,0.331933
-5.6,67,0.337994
-6.4,75,0.34498
-6.7,78,0.35194
-1.7,28,0.354459
-6.5,76,0.361523
-10.6,117,0.372072
-12.7,138,0.384864
-8.7,98,0.393813
-13.8,149,0.407378
-8.4,95,0.416066
-10.5,116,0.426176
-2.1,32,0.429001
-4.2,53,0.433604
-0.5,16,0.435019
-5.3,64,0.440586
-3.6,47,0.444654
-4.6,57,0.449597
-8.0,91,0.457376
-3.5,46,0.461381
-7.2,83,0.472377
-2.8,39,0.475971
-9.5,106,0.485341
-2.4,35,0.488524
-2.0,31,0.491526
-5.9,70,0.498045
-10.2,113,0.50797
-9.5,106,0.733363
-2.9,40,0.737006
-0.6,17,0.738557
-0.0,11,0.739557
-3.7,48,0.743813
-7.5,86,0.751404
-0.4,15,0.752735
-1.4,25,0.754929
-0.8,19,0.756635
-1.5,26,0.758952
-1.9,30,0.76158
-1.1,22,0.763546
-0.5,16,0.764972
-1.8,29,0.76755
-1.8,29,0.770122
-5.8,69,0.776181
-1.7,28,0.778663
-1.4,25,0.780878
-2.9,40,0.78438
-0.8,19,0.786058
-4.5,56,0.790927
-1.8,29,0.793463
-6.7,78,0.800298
-3.7,48,0.804493
-8.5,96,0.812867
-0.0,11,0.813846
-1.5,26,0.816173
-0.3,14,0.817414
-0.4,15,0.818734
-1.7,28,0.821206
-3.5,46,0.825203
-3.9,50,0.829539
-3.7,48,0.833704
-6.6,77,0.840367
-5.0,61,0.845622
-0.0,11,0.846591
-12.5,136,0.858585
-1.8,29,0.861231
-1.9,30,0.863924
-0.4,15,0.865261
-3.1,42,0.868954
-2.4,35,0.872001
-1.1,22,0.873928
-2.8,39,0.877349
-0.0,11,0.878329
-1.5,26,0.880608
-3.8,49,0.884855
-4.8,59,0.889974
-1.9,30,0.892584
-3.1,42,0.896217
-0.7,18,0.897793
-1.4,25,0.899971
-1.2,23,0.901971
-2.5,36,0.905127
-1.6,27,1.099582
0.1,10,1.100559
-1.9,30,1.103276
-1.1,22,1.105257
-0.9,20,1.107038
-1.7,28,1.109494
-1.1,22,1.11144
-1.4,25,1.113648
-2.1,32,1.116457
-0.2,13,1.117622
-0.0,11,1.118615
-0.3,14,1.119859
-1.0,21,1.121688
-0.2,13,1.122817
-0.4,15,1.124128
-0.0,11,1.125106
-1.4,25,1.127297
-0.3,14,1.128533
-0.5,16,1.129936
-0.5,16,1.131349
-2.2,33,1.134216
-0.2,13,1.135357
-2.0,31,1.138065
-1.0,21,1.139892
-0.2,13,1.141035
-0.9,20,1.142765
-0.5,16,1.144163
-1.3,24,1.146252
-1.4,25,1.148408
-0.2,13,1.149548
-1.2,23,1.151529
0.2,9,1.152345
-0.5,16,1.153739
-0.3,14,1.154957
-1.8,29,1.157451
0.2,9,1.158241
-0.1,12,1.159297
-0.7,18,1.160877
-0.4,15,1.162185
-1.4,25,1.164347
-2.3,34,1.167271
-1.4,25,1.169596
-1.6,27,1.172056
-3.3,44,1.175997
-1.4,25,1.178235
-0.4,15,1.179584
-1.0,21,1.181444
-0.0,11,1.182424
-0.7,18,1.184043
-0.8,19,1.185726
-1.0,21,1.187586
-2.8,39,1.191033
-2.1,32,1.193852
-1.0,21,1.195704
-1.0,21,1.197556
-1.8,29,1.200103
-2.2,33,1.202996
0.2,9,1.203794
-0.9,20,1.205542
-1.2,23,1.207566
-0.2,13,1.208725
-1.4,25,1.210915
-1.8,29,1.213412
0.1,10,1.214301
-0.5,16,1.215705
-0.8,19,1.217376
0.2,9,1.218163
0.2,9,1.218964
0.2,9,1.219762
-0.5,16,1.22116
-0.4,15,1.222479
-0.6,17,1.223967
-0.4,15,1.225282
-1.2,23,1.227287
-0.9,20,1.229036
-0.4,15,1.23033
-0.4,15,1.231652
-1.3,24,1.233738
-1.4,25,1.235906
-0.7,18,1.237485
-1.9,30,1.240087
-0.7,18,1.241648
0.1,10,1.242526
-0.0,11,1.243489
-3.0,41,1.247037
-1.6,27,1.249379
-0.8,19,1.251037
-0.4,15,1.25234
-1.7,28,1.254773
-0.0,11,1.255738
-2.0,31,1.258418
-0.8,19,1.260068
-1.8,29,1.262602
-0.5,16,1.263999
-2.1,32,1.266768
-0.4,15,1.268077
-0.8,19,1.269736
-0.4,15,1.271064
-1.2,23,1.273066
-0.6,17,1.274559
-1.6,27,1.276896
-0.4,15,1.278224
