#{"t_start": 1774802972.266297, "env_id": "SimpleCorridor-v0"}
r,l,t
-4.6,57,3.264589
-5.7,68,3.270806
-0.9,20,3.272648
-6.3,74,3.279645
-15.6,167,3.295036
-4.5,56,3.300447
-1.6,27,3.302888
-6.0,71,3.309191
-0.5,16,3.310629
-8.4,95,3.319404
-6.3,74,3.32608
-5.4,65,3.331912
-14.2,153,3.345611
-14.9,160,3.36025
-10.3,114,3.370427
-15.5,166,3.385225
-0.4,15,3.386592
-1.5,26,3.388905
-13.4,145,3.401912
-0.8,19,3.403647
-9.8,109,3.413692
-0.8,19,3.415447
-2.2,33,3.418459
-7.4,85,3.426379
-2.1,32,3.42932
-23.5,246,3.667247
-1.9,30,3.670062
-2.3,34,3.673213
-3.4,45,3.677346
-6.8,79,3.684677
-0.4,15,3.686113
-3.3,44,3.690135
-2.7,38,3.693691
-0.7,18,3.695354
-1.9,30,3.698292
-0.4,15,3.699721
-0.4,15,3.701143
-0.4,15,3.702537
-3.9,50,3.7073
-6.1,72,3.71398
0.2,9,3.714812
-0.9,20,3.716712
-0.3,14,3.71801
-0.7,18,3.719658
-2.7,38,3.723111
-0.7,18,3.724763
-1.5,26,3.727229
-4.1,52,3.732057
-3.9,50,3.736683
-0.2,13,3.737897
-0.7,18,3.739555
-2.8,39,3.743154
-3.4,45,3.747327
-1.0,21,3.749259
-0.9,20,3.751101
-1.3,24,3.753309
-2.2,33,3.756304
-5.7,68,3.762581
-3.7,48,3.766966
-3.6,47,3.771261
-2.2,33,3.774369
-6.8,79,3.781682
-0.4,15,3.783092
-2.0,31,3.786014
-5.1,62,3.791733
-4.3,54,3.796684
-2.8,39,3.800221
-1.5,26,3.802737
-1.6,27,3.805208
-2.3,34,3.808457
-0.0,11,3.809572
-2.3,34,3.812765
-1.8,29,3.815411
-2.4,35,3.818632
-1.4,25,3.820945
-0.5,16,3.822424
-0.9,20,3.824218
-1.6,27,3.826771
-3.0,41,3.830574
-0.2,13,3.831855
-3.7,48,3.8362
-1.5,26,3.838582
-0.8,19,3.840316
-3.7,48,3.844748
-6.9,80,4.053587
-1.2,23,4.055784
-0.0,11,4.05682
-0.2,13,4.058149
-0.0,11,4.059215
-0.6,17,4.060815
-0.2,13,4.062092
-3.4,45,4.06623
-0.3,14,4.067536
-0.4,15,4.068919
-0.0,11,4.069918
0.2,9,4.070762
-0.6,17,4.072463
-0.2,13,4.073719
-2.8,39,4.077379
-1.4,25,4.079664
-0.8,19,4.081478
-1.2,23,4.083637
0.2,9,4.084475
-1.5,26,4.086895
-0.4,15,4.088266
-5.5,66,4.094218
-0.8,19,4.095966
-0.6,17,4.097512
-0.2,13,4.098691
-0.4,15,4.100044
-0.2,13,4.101233
-0.6,17,4.102944
